name,image,mask,intacto,menor,mayor,destruido
joplin-tornado_00000000_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000000_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000000_post_disaster.png,8431,55761,39688,94125
joplin-tornado_00000001_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000001_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000001_post_disaster.png,19023,81521,33260,61161
joplin-tornado_00000002_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000002_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000002_post_disaster.png,34918,41321,7113,9851
joplin-tornado_00000003_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000003_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000003_post_disaster.png,63778,70016,9636,428
joplin-tornado_00000004_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000004_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000004_post_disaster.png,107287,88104,4829,1372
joplin-tornado_00000005_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000005_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000005_post_disaster.png,18568,12180,2363,0
joplin-tornado_00000006_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000006_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000006_post_disaster.png,38941,808,0,0
joplin-tornado_00000007_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000007_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000007_post_disaster.png,243014,3652,0,0
joplin-tornado_00000008_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000008_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000008_post_disaster.png,6748,7573,10585,11516
joplin-tornado_00000009_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000009_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000009_post_disaster.png,93002,0,0,0
joplin-tornado_00000010_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000010_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000010_post_disaster.png,149537,0,0,0
joplin-tornado_00000011_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000011_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000011_post_disaster.png,8135,23857,50665,35694
joplin-tornado_00000012_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000012_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000012_post_disaster.png,281724,11002,0,0
joplin-tornado_00000013_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000013_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000013_post_disaster.png,13480,0,0,0
joplin-tornado_00000014_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000014_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000014_post_disaster.png,6930,19397,18844,46466
joplin-tornado_00000015_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000015_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000015_post_disaster.png,89212,76501,0,0
joplin-tornado_00000016_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000016_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000016_post_disaster.png,7195,26626,24663,80049
joplin-tornado_00000017_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000017_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000017_post_disaster.png,178050,0,0,0
joplin-tornado_00000018_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000018_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000018_post_disaster.png,0,15603,2706,37870
joplin-tornado_00000019_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000019_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000019_post_disaster.png,24297,546,0,0
joplin-tornado_00000020_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000020_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000020_post_disaster.png,6405,74167,88876,25362
joplin-tornado_00000021_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000021_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000021_post_disaster.png,22022,0,0,0
joplin-tornado_00000022_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000022_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000022_post_disaster.png,12097,0,14120,7825
joplin-tornado_00000023_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000023_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000023_post_disaster.png,83638,0,0,0
joplin-tornado_00000024_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000024_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000024_post_disaster.png,17007,0,12757,0
joplin-tornado_00000025_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000025_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000025_post_disaster.png,8645,45254,16000,40961
joplin-tornado_00000027_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000027_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000027_post_disaster.png,55233,59117,18854,13051
joplin-tornado_00000028_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000028_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000028_post_disaster.png,223654,0,0,0
joplin-tornado_00000029_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000029_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000029_post_disaster.png,45381,0,0,0
joplin-tornado_00000030_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000030_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000030_post_disaster.png,9476,1113,9894,7582
joplin-tornado_00000031_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000031_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000031_post_disaster.png,100211,63530,10025,17216
joplin-tornado_00000032_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000032_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000032_post_disaster.png,1066,4114,16586,2112
joplin-tornado_00000033_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000033_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000033_post_disaster.png,115461,115168,1698,784
joplin-tornado_00000034_post_disaster,dataset\xbd\tier3\images\joplin-tornado_00000034_post_disaster.png,dataset\xbd_masks\joplin-tornado_00000034_post_disaster.png,7466,0,0,0
