name,image,mask,intacto,menor,mayor,destruido
midwest-flooding_00000001_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000001_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000001_post_disaster.png,139584,0,0,0
midwest-flooding_00000002_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000002_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000002_post_disaster.png,14212,0,248,2081
midwest-flooding_00000003_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000003_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000003_post_disaster.png,263661,3086,0,0
midwest-flooding_00000005_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000005_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000005_post_disaster.png,0,0,0,877
midwest-flooding_00000007_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000007_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000007_post_disaster.png,91358,5041,0,0
midwest-flooding_00000010_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000010_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000010_post_disaster.png,0,0,0,1123
midwest-flooding_00000012_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000012_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000012_post_disaster.png,256,0,0,509
midwest-flooding_00000013_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000013_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000013_post_disaster.png,215925,0,0,0
midwest-flooding_00000018_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000018_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000018_post_disaster.png,182101,5559,0,0
midwest-flooding_00000019_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000019_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000019_post_disaster.png,76144,0,0,0
midwest-flooding_00000020_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000020_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000020_post_disaster.png,190555,3142,0,0
midwest-flooding_00000021_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000021_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000021_post_disaster.png,2878,766,236,110
midwest-flooding_00000022_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000022_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000022_post_disaster.png,228474,0,0,0
midwest-flooding_00000023_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000023_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000023_post_disaster.png,164445,16043,0,0
midwest-flooding_00000024_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000024_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000024_post_disaster.png,292451,0,0,0
midwest-flooding_00000025_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000025_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000025_post_disaster.png,77367,0,0,0
midwest-flooding_00000027_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000027_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000027_post_disaster.png,100530,0,0,0
midwest-flooding_00000028_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000028_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000028_post_disaster.png,0,0,0,890
midwest-flooding_00000029_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000029_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000029_post_disaster.png,266417,0,0,0
midwest-flooding_00000030_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000030_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000030_post_disaster.png,16198,1169,0,0
midwest-flooding_00000031_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000031_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000031_post_disaster.png,272361,0,0,0
midwest-flooding_00000033_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000033_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000033_post_disaster.png,148607,0,0,0
midwest-flooding_00000036_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000036_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000036_post_disaster.png,189534,0,0,0
midwest-flooding_00000038_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000038_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000038_post_disaster.png,99,0,95,0
midwest-flooding_00000039_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000039_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000039_post_disaster.png,85621,0,0,0
midwest-flooding_00000041_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000041_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000041_post_disaster.png,171920,0,0,0
midwest-flooding_00000043_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000043_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000043_post_disaster.png,109265,0,0,0
midwest-flooding_00000044_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000044_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000044_post_disaster.png,263904,0,0,0
midwest-flooding_00000047_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000047_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000047_post_disaster.png,169831,1553,0,0
midwest-flooding_00000049_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000049_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000049_post_disaster.png,210956,0,0,0
midwest-flooding_00000054_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000054_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000054_post_disaster.png,277452,0,0,0
midwest-flooding_00000058_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000058_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000058_post_disaster.png,163696,0,0,0
midwest-flooding_00000059_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000059_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000059_post_disaster.png,205225,0,0,0
midwest-flooding_00000060_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000060_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000060_post_disaster.png,185646,0,0,0
midwest-flooding_00000061_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000061_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000061_post_disaster.png,169188,0,0,0
midwest-flooding_00000062_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000062_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000062_post_disaster.png,149430,0,0,0
midwest-flooding_00000063_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000063_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000063_post_disaster.png,177567,0,0,0
midwest-flooding_00000064_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000064_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000064_post_disaster.png,162781,0,0,0
midwest-flooding_00000065_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000065_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000065_post_disaster.png,265811,0,0,0
midwest-flooding_00000066_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000066_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000066_post_disaster.png,212956,0,0,0
midwest-flooding_00000067_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000067_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000067_post_disaster.png,249725,0,0,0
midwest-flooding_00000068_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000068_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000068_post_disaster.png,214765,0,0,0
midwest-flooding_00000070_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000070_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000070_post_disaster.png,88307,0,0,0
midwest-flooding_00000076_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000076_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000076_post_disaster.png,1140,276,0,0
midwest-flooding_00000077_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000077_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000077_post_disaster.png,9352,0,0,0
midwest-flooding_00000079_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000079_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000079_post_disaster.png,707,0,0,0
midwest-flooding_00000081_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000081_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000081_post_disaster.png,0,0,343,0
midwest-flooding_00000083_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000083_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000083_post_disaster.png,2534,0,0,0
midwest-flooding_00000084_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000084_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000084_post_disaster.png,1949,1050,0,0
midwest-flooding_00000085_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000085_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000085_post_disaster.png,149,71,0,0
midwest-flooding_00000086_post_disaster,dataset\xbd\train\train\images\midwest-flooding_00000086_post_disaster.png,dataset\xbd_masks\midwest-flooding_00000086_post_disaster.png,22,0,0,0
