name,image,mask,intacto,menor,mayor,destruido
moore-tornado_00000000_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000000_post_disaster.png,dataset\xbd_masks\moore-tornado_00000000_post_disaster.png,90681,0,0,0
moore-tornado_00000002_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000002_post_disaster.png,dataset\xbd_masks\moore-tornado_00000002_post_disaster.png,11250,0,0,0
moore-tornado_00000003_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000003_post_disaster.png,dataset\xbd_masks\moore-tornado_00000003_post_disaster.png,119954,17575,9488,8914
moore-tornado_00000004_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000004_post_disaster.png,dataset\xbd_masks\moore-tornado_00000004_post_disaster.png,105,0,0,0
moore-tornado_00000005_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000005_post_disaster.png,dataset\xbd_masks\moore-tornado_00000005_post_disaster.png,28836,0,0,0
moore-tornado_00000006_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000006_post_disaster.png,dataset\xbd_masks\moore-tornado_00000006_post_disaster.png,134375,22065,6870,7857
moore-tornado_00000007_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000007_post_disaster.png,dataset\xbd_masks\moore-tornado_00000007_post_disaster.png,176413,0,0,0
moore-tornado_00000008_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000008_post_disaster.png,dataset\xbd_masks\moore-tornado_00000008_post_disaster.png,154926,14265,1263,0
moore-tornado_00000009_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000009_post_disaster.png,dataset\xbd_masks\moore-tornado_00000009_post_disaster.png,253620,0,0,0
moore-tornado_00000010_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000010_post_disaster.png,dataset\xbd_masks\moore-tornado_00000010_post_disaster.png,499,0,0,0
moore-tornado_00000011_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000011_post_disaster.png,dataset\xbd_masks\moore-tornado_00000011_post_disaster.png,224329,0,0,0
moore-tornado_00000012_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000012_post_disaster.png,dataset\xbd_masks\moore-tornado_00000012_post_disaster.png,136909,32688,1572,429
moore-tornado_00000013_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000013_post_disaster.png,dataset\xbd_masks\moore-tornado_00000013_post_disaster.png,146241,7520,0,0
moore-tornado_00000014_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000014_post_disaster.png,dataset\xbd_masks\moore-tornado_00000014_post_disaster.png,138929,0,0,0
moore-tornado_00000015_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000015_post_disaster.png,dataset\xbd_masks\moore-tornado_00000015_post_disaster.png,252692,0,0,0
moore-tornado_00000016_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000016_post_disaster.png,dataset\xbd_masks\moore-tornado_00000016_post_disaster.png,126327,27525,3962,7564
moore-tornado_00000017_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000017_post_disaster.png,dataset\xbd_masks\moore-tornado_00000017_post_disaster.png,44960,31030,10926,9823
moore-tornado_00000018_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000018_post_disaster.png,dataset\xbd_masks\moore-tornado_00000018_post_disaster.png,213770,0,0,0
moore-tornado_00000019_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000019_post_disaster.png,dataset\xbd_masks\moore-tornado_00000019_post_disaster.png,262839,0,0,0
moore-tornado_00000020_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000020_post_disaster.png,dataset\xbd_masks\moore-tornado_00000020_post_disaster.png,9093,0,0,0
moore-tornado_00000021_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000021_post_disaster.png,dataset\xbd_masks\moore-tornado_00000021_post_disaster.png,74460,0,0,0
moore-tornado_00000022_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000022_post_disaster.png,dataset\xbd_masks\moore-tornado_00000022_post_disaster.png,1074,12663,7704,35889
moore-tornado_00000023_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000023_post_disaster.png,dataset\xbd_masks\moore-tornado_00000023_post_disaster.png,282911,2967,0,0
moore-tornado_00000024_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000024_post_disaster.png,dataset\xbd_masks\moore-tornado_00000024_post_disaster.png,23287,0,0,0
moore-tornado_00000025_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000025_post_disaster.png,dataset\xbd_masks\moore-tornado_00000025_post_disaster.png,35025,0,0,0
moore-tornado_00000026_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000026_post_disaster.png,dataset\xbd_masks\moore-tornado_00000026_post_disaster.png,129692,0,0,0
moore-tornado_00000027_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000027_post_disaster.png,dataset\xbd_masks\moore-tornado_00000027_post_disaster.png,57451,82329,41742,48553
moore-tornado_00000028_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000028_post_disaster.png,dataset\xbd_masks\moore-tornado_00000028_post_disaster.png,13191,0,0,0
moore-tornado_00000029_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000029_post_disaster.png,dataset\xbd_masks\moore-tornado_00000029_post_disaster.png,9148,3879,15995,22369
moore-tornado_00000030_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000030_post_disaster.png,dataset\xbd_masks\moore-tornado_00000030_post_disaster.png,55920,0,0,0
moore-tornado_00000031_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000031_post_disaster.png,dataset\xbd_masks\moore-tornado_00000031_post_disaster.png,240615,0,0,0
moore-tornado_00000032_post_disaster,dataset\xbd\tier3\images\moore-tornado_00000032_post_disaster.png,dataset\xbd_masks\moore-tornado_00000032_post_disaster.png,24066,0,0,0
