name,image,mask,intacto,menor,mayor,destruido
nepal-flooding_00000001_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000001_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000001_post_disaster.png,40120,0,0,0
nepal-flooding_00000002_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000002_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000002_post_disaster.png,21304,1732,0,0
nepal-flooding_00000003_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000003_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000003_post_disaster.png,7220,0,0,0
nepal-flooding_00000004_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000004_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000004_post_disaster.png,9508,1117,339,211
nepal-flooding_00000005_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000005_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000005_post_disaster.png,33679,630,1221,0
nepal-flooding_00000006_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000006_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000006_post_disaster.png,109412,0,0,0
nepal-flooding_00000008_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000008_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000008_post_disaster.png,26128,666,0,0
nepal-flooding_00000009_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000009_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000009_post_disaster.png,542,2175,1081,176
nepal-flooding_00000010_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000010_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000010_post_disaster.png,94775,0,0,0
nepal-flooding_00000011_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000011_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000011_post_disaster.png,0,1490,0,0
nepal-flooding_00000012_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000012_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000012_post_disaster.png,1064,644,2859,230
nepal-flooding_00000013_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000013_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000013_post_disaster.png,114536,5727,3580,445
nepal-flooding_00000014_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000014_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000014_post_disaster.png,0,0,3408,177
nepal-flooding_00000015_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000015_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000015_post_disaster.png,0,0,7607,0
nepal-flooding_00000016_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000016_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000016_post_disaster.png,18327,1297,0,0
nepal-flooding_00000017_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000017_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000017_post_disaster.png,727,429,7293,0
nepal-flooding_00000018_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000018_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000018_post_disaster.png,0,4286,25199,0
nepal-flooding_00000019_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000019_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000019_post_disaster.png,747,1527,0,981
nepal-flooding_00000020_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000020_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000020_post_disaster.png,69152,33025,12988,0
nepal-flooding_00000021_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000021_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000021_post_disaster.png,0,1006,0,0
nepal-flooding_00000022_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000022_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000022_post_disaster.png,44699,17568,11860,124
nepal-flooding_00000023_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000023_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000023_post_disaster.png,34111,13821,13512,0
nepal-flooding_00000025_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000025_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000025_post_disaster.png,12772,13461,1400,0
nepal-flooding_00000026_post_disaster,dataset\xbd\tier3\images\nepal-flooding_00000026_post_disaster.png,dataset\xbd_masks\nepal-flooding_00000026_post_disaster.png,9272,0,0,0
