evento,es_incendio,p_incendio
crasar:Champlain,0,0.001714
crasar:Champlain,0,0.048310
crasar:Champlain,0,0.212953
crasar:Champlain,0,0.001284
crasar:Champlain,0,0.016344
crasar:Champlain,0,0.599942
crasar:Champlain,0,0.000476
crasar:Champlain,0,0.010443
crasar:Champlain,0,0.002003
crasar:Champlain,0,0.040701
crasar:Champlain,0,0.064084
crasar:Champlain,0,0.042365
crasar:Champlain,0,0.510263
crasar:Champlain,0,0.035535
crasar:Champlain,0,0.000659
crasar:Champlain,0,0.047765
crasar:Champlain,0,0.177421
crasar:Champlain,0,0.031627
crasar:Champlain,0,0.027745
crasar:Champlain,0,0.001055
crasar:Champlain,0,0.000618
crasar:Champlain,0,0.000544
crasar:Champlain,0,0.094224
crasar:Champlain,0,0.015080
crasar:Champlain,0,0.398308
crasar:Champlain,0,0.008754
crasar:Champlain,0,0.000000
crasar:Champlain,0,0.004050
crasar:Champlain,0,0.000798
crasar:Champlain,0,0.175269
crasar:Champlain,0,0.009654
crasar:Champlain,0,0.329776
crasar:Champlain,0,0.024996
crasar:Champlain,0,0.003307
crasar:Champlain,0,0.050476
crasar:Champlain,0,0.000459
crasar:Champlain,0,0.000484
crasar:Champlain,0,0.001478
crasar:Champlain,0,0.015468
crasar:Champlain,0,0.003615
crasar:Champlain,0,0.067730
crasar:Champlain,0,0.129782
crasar:Champlain,0,0.073935
crasar:Champlain,0,0.004571
crasar:Champlain,0,0.701910
crasar:Champlain,0,0.022579
crasar:Champlain,0,0.000210
crasar:Champlain,0,0.000243
crasar:Champlain,0,0.000487
crasar:Champlain,0,0.069084
crasar:Champlain,0,0.752788
crasar:Champlain,0,0.003499
crasar:Champlain,0,0.072515
crasar:Champlain,0,0.002170
crasar:Champlain,0,0.004510
crasar:Champlain,0,0.003441
crasar:Cocodrie,0,0.000040
crasar:Cocodrie,0,0.000199
crasar:Cocodrie,0,0.000861
crasar:Cocodrie,0,0.209130
crasar:Cocodrie,0,0.003603
crasar:Cocodrie,0,0.795910
crasar:Cocodrie,0,0.131021
crasar:Cocodrie,0,0.913964
crasar:Cocodrie,0,0.000001
crasar:Cocodrie,0,0.002604
crasar:Cocodrie,0,0.015413
crasar:Cocodrie,0,0.048355
crasar:Cocodrie,0,0.003037
crasar:Cocodrie,0,0.016942
crasar:Cocodrie,0,0.053134
crasar:Cocodrie,0,0.027402
crasar:Cocodrie,0,0.000820
